,timestamp,open,high,low,close,adjusted close,volume,dividend amount
162,2009-01-30,85.88,97.17,78.2,90.13,2.7519,646633600,0.0
163,2008-12-31,91.3,103.6,84.55,85.35,2.606,721923100,0.0
164,2008-11-28,105.93,111.79,79.14,92.67,2.8295,843552200,0.0
165,2008-10-31,111.92,116.4,85.0,107.59,3.285,1479525400,0.0
166,2008-09-30,172.4,173.5,100.59,113.66,3.4704,859555800,0.0
167,2008-08-29,159.94,180.45,152.91,169.53,5.1762,467348400,0.0
168,2008-07-31,164.05,180.91,146.53,158.95,4.8532,705348600,0.0
169,2008-06-30,188.5,189.95,164.15,167.44,5.1124,695564100,0.0
170,2008-05-30,175.01,192.24,172.0,188.75,5.7631,663864800,0.0
171,2008-04-30,146.3,180.0,143.61,173.95,5.3112,813820800,0.0
172,2008-03-31,124.44,145.74,118.0,143.5,4.3815,818831200,0.0
173,2008-02-29,136.24,136.59,115.44,125.02,3.8172,888069800,0.0
174,2008-01-31,199.27,200.26,126.14,135.36,4.1329,1256210300,0.0
175,2007-12-31,181.86,202.96,176.99,198.08,6.0479,616167100,0.0
176,2007-11-30,188.6,192.68,150.63,182.22,5.5637,935706800,0.0
177,2007-10-31,154.63,190.12,152.93,189.95,5.7997,831349700,0.0
178,2007-09-28,139.94,155.0,130.0,153.47,4.6859,747543700,0.0
179,2007-08-31,133.64,139.65,111.62,138.48,4.2282,870028500,0.0
180,2007-07-31,121.05,148.92,119.3,131.76,4.023,857806200,0.0
181,2007-06-29,121.1,127.61,115.4,122.04,3.7262,831412200,0.0
182,2007-05-31,99.59,122.17,98.55,121.191,3.7003,620181000,0.0
183,2007-04-30,94.14,102.5,89.6,99.8,3.0472,480705000,0.0
184,2007-03-30,84.03,96.83,83.75,92.91,2.8368,568523000,0.0
185,2007-02-28,86.23,90.81,82.86,84.61,2.5834,490084100,0.0
186,2007-01-31,86.29,97.8,81.9,85.73,2.6176,971777900,0.0
187,2006-12-29,91.8,92.33,76.77,84.84,2.5904,603242600,0.0
188,2006-11-30,81.1,93.159,77.79,91.66,2.7986,494103000,0.0
189,2006-10-31,75.1,82.6,72.6,81.08,2.4756,513855600,0.0
190,2006-09-29,68.48,77.78,67.82,76.98,2.3504,632912800,0.0
191,2006-08-31,67.22,70.0,62.58,67.85,2.0716,638844500,0.0
192,2006-07-31,57.52,68.63,50.16,67.96,2.075,624276500,0.0
193,2006-06-30,59.85,63.1,55.41,57.27,1.7486,640593700,0.0
194,2006-05-31,70.78,73.8,58.69,59.77,1.8249,557456400,0.0
195,2006-04-28,63.66,72.05,61.05,70.39,2.1492,718545800,0.0
196,2006-03-31,69.0,69.99,57.67,62.72,1.915,828308300,0.0
197,2006-02-28,75.0,76.46,62.9,68.49,2.0912,670024900,0.0
198,2006-01-31,72.332,86.4,70.87,75.51,2.3055,781370400,0.0
199,2005-12-30,68.95,75.46,68.81,71.89,2.195,466577300,0.0
200,2005-11-30,57.24,71.07,56.87,67.82,2.0707,480586700,0.0
201,2005-10-31,54.16,57.98,47.87,57.59,1.7584,665837400,0.0
202,2005-09-30,47.0,54.56,46.09,53.61,1.6369,440991800,0.0
203,2005-08-31,42.6,48.33,42.02,46.89,1.4317,335743100,0.0
204,2005-07-29,36.83,44.38,36.29,42.65,1.3022,360508800,0.0
205,2005-06-30,39.89,40.76,35.52,36.81,1.1239,404542700,0.0
206,2005-05-31,36.21,40.94,33.11,39.7593,1.214,459224800,0.0
207,2005-04-29,42.09,44.45,34.0,36.06,1.101,691982800,0.0
